asset_id,batch,tool_target,duration_seconds,reference_input,prompt_final,negative_prompt
A00,00-character,image,0,none,"Folha de personagem horizontal 16:9 em alta resolução para uma série de ilustração editorial 2D sobre psicologia do dinheiro. Mostrar o mesmo adulto genérico em vista frontal, três quartos, perfil e costas; seis expressões: alívio, euforia, surpresa, tensão, vergonha leve e compreensão. Cabeça circular cor de papel quente #F2E8D5, olhos pretos simples, sobrancelhas muito expressivas, boca minimalista, sem cabelo, corpo estilizado mais sólido que stickman de linha, roupa grafite #111315 com pequeno bolso quadrado verde-limão #A7E22E no lado esquerdo do peito, mãos de quatro dedos, sapatos pretos simples, contorno preto espesso e uniforme, formas limpas, proporções idênticas, fundo branco neutro, cada pose separada, sem texto. Aparência adulta, editorial e inteligente, fácil de reconhecer e reproduzir.","sem palavras, letras, números, logotipos, cifrões, marcas, fotorrealismo, 3D, anime, aquarela, estética infantil, cabelo, barba, acessórios variáveis, dedos extras, membros deformados, poses sobrepostas, sombra pesada, textura ruidosa"
A01,01-hook,image,0,A00,"Ilustração editorial 2D horizontal 16:9 usando exatamente o personagem da referência A00. Close extremo de um celular escuro na mão do protagonista exibindo uma notificação visual de aumento por meio de uma seta verde ascendente e um pequeno ícone de contracheque, sem nenhuma palavra. O brilho verde do celular reflete no rosto surpreso e esperançoso do personagem. Fundo grafite desfocado, composição cinematográfica simples, contorno preto espesso, papel quente, verde-limão, amarelo pontual, espaço livre na parte superior, leitura imediata.","sem texto legível, letras, números, logotipos, banco real, aplicativo real, marca, fotorrealismo, 3D, anime, dinheiro voando, mãos deformadas, objetos excessivos, cenário detalhado, personagem diferente da referência"
A01B,07-callback,image,0,A01,"Editar a imagem de referência A01 preservando exatamente personagem, celular, enquadramento, paleta e iluminação. Atrás do celular, revelar três fios verde-limão discretos e bem separados: um termina numa régua ascendente, outro em três silhuetas sobre um degrau e o terceiro em três cobranças recorrentes abstratas. A expressão do protagonista muda de surpresa para compreensão. Manter ampla área negativa no topo e leitura imediata; deve parecer um retorno deliberado à abertura, não uma cena nova.","sem texto, letras, números, logotipos, mudança de personagem, mudança de celular, mudança de câmera, fios emaranhados, ícones pequenos, marionete, fotorrealismo, 3D, anime, mãos deformadas"
A03,01-hook,image,0,A00,"Ilustração editorial 2D horizontal 16:9 dividida em três vinhetas grandes e claras, mantendo o personagem A00: na primeira ele imagina um apartamento levemente melhor; na segunda aceita feliz um convite de dois amigos; na terceira compra um item cotidiano pequeno sem olhar o saldo. As três vinhetas nascem de um único balão mental acima do protagonista. Fundo papel quente, contorno preto grosso, verde-limão como fio entre as cenas, vermelho mínimo, composição limpa e adulta.","sem texto, letras, números, marcas, luxo extravagante, mansão, carros esportivos, fotorrealismo, 3D, anime, personagens infantis, excesso de detalhes, anatomia inconsistente"
A04,01-hook,image,0,A00,"Ilustração editorial 2D horizontal 16:9 com calendário de várias folhas ocupando o fundo e o personagem A00 caminhando confiante da esquerda para a direita. Um pequeno indicador visual de saldo verde acompanha as primeiras folhas sem usar números. As folhas posteriores começam a perder saturação. Estilo de charge documental, contorno preto espesso, formas planas, fundo creme, verde-limão e amarelo controlados.","sem palavras, letras, números, logotipos, aplicativo bancário real, fotorrealismo, 3D, anime, calendário ilegível cheio de detalhes, personagem diferente, mãos extras"
A05,01-hook,image,0,A00,"Ilustração editorial 2D horizontal 16:9. Personagem A00 central com expressão de dúvida, puxado suavemente por três fios verde-limão em direções diferentes. Um fio termina numa régua ascendente, outro em silhuetas de colegas num degrau alto e outro em uma pilha de contas recorrentes. Fundo grafite, halo creme ao redor do personagem, ícones grandes e separados, contorno preto grosso, composição simétrica, espaço no topo.","sem texto, letras, números, cifrões repetidos, marcas, aspecto de marionete assustadora, fotorrealismo, 3D, anime, horror, excesso de objetos, personagem inconsistente"
A06,02-adaptation,image,0,A00,"Ilustração editorial 2D horizontal 16:9 mostrando um cérebro gráfico simples dentro de uma caixa de controle, recalibrando uma régua de normalidade para cima. O personagem A00 observa o mecanismo por uma janela lateral com expressão de descoberta. Fio verde-limão liga uma moeda abstrata à régua. Fundo creme com painel grafite, amarelo de atenção, contorno preto espesso, aparência editorial adulta e clara.","sem palavras, letras, números, cérebro anatômico realista, cirurgia, logotipos, fotorrealismo, 3D, anime, estética infantil, painel complexo, cabos excessivos"
A07A,02-adaptation,image,0,A00,"Ilustração editorial 2D horizontal 16:9 com o personagem A00 segurando um celular novo genérico e olhando fascinado. O aparelho emite halo verde e amarelo exagerado, pequenos brilhos e reflexo no rosto; o restante da cena é simples e creme. Câmera média, aparelho à direita e personagem à esquerda, com marcas de composição fáceis de repetir. Contorno preto grosso, formas limpas, sem interface ou marca.","sem texto, letras, números, logotipo, modelo real de celular, fotorrealismo, 3D, anime, aparelho deformado, personagem infantil, brilho cobrindo o rosto"
A07B,02-adaptation,image,0,A07A,"Editar a imagem de referência A07A preservando exatamente personagem, pose, aparelho, câmera, fundo e proporções. Remover halo, brilhos e reflexo colorido; deixar o personagem com expressão neutra e familiar, usando o mesmo celular como objeto cotidiano. Reduzir levemente a saturação sem tornar a cena triste. Contorno preto grosso, formas estáveis e correspondência visual perfeita com A07A.","sem texto, letras, números, logotipo, novo aparelho, novo enquadramento, nova roupa, expressão triste, personagem diferente, fotorrealismo, 3D, anime, deformação de mãos ou rosto"
A08,02-adaptation,image,0,A00,"Ilustração editorial 2D horizontal 16:9 no estilo do personagem A00. Um calendário minimalista com três marcos grandes se conecta a uma curva visual de emoção que começa alta e perde altura. Abaixo, o protagonista aparece eufórico, depois satisfeito e por fim neutro. Fundo papel quente, gráfico original e conceitual sem reproduzir figura científica, verde-limão no início e grafite no final, contorno preto espesso.","sem texto, letras, números, reprodução de gráfico publicado, logotipos, fotorrealismo, 3D, anime, eixos detalhados, personagem inconsistente, expressão triste no final"
