"asset_id";"cenas_atendidas";"lote";"nome_arquivo";"tipo";"prioridade";"referencia_autorizada";"prompt_positivo_completo";"negative_prompt_completo";"proporcao_e_enquadramento";"duracao_se_video";"texto_aplicado_no_editor";"continuidade_obrigatoria";"plano_b";"criterios_de_aprovacao";"status"
"A001";"{{CENAS_A001}}";"{{LOTE_A001}}";"{{ARQUIVO_A001}}";"{{TIPO_A001}}";"{{PRIORIDADE_A001}}";"{{REFERENCIA_A001}}";"{{PROMPT_POSITIVO_COMPLETO_A001}}";"{{NEGATIVE_PROMPT_COMPLETO_A001}}";"{{PROPORCAO_ENQUADRAMENTO_A001}}";"{{DURACAO_A001}}";"{{TEXTO_EDITOR_A001}}";"{{CONTINUIDADE_A001}}";"{{PLANO_B_A001}}";"{{CRITERIOS_APROVACAO_A001}}";"{{STATUS_A001}}"
"A002";"{{CENAS_A002}}";"{{LOTE_A002}}";"{{ARQUIVO_A002}}";"{{TIPO_A002}}";"{{PRIORIDADE_A002}}";"{{REFERENCIA_A002}}";"{{PROMPT_POSITIVO_COMPLETO_A002}}";"{{NEGATIVE_PROMPT_COMPLETO_A002}}";"{{PROPORCAO_ENQUADRAMENTO_A002}}";"{{DURACAO_A002}}";"{{TEXTO_EDITOR_A002}}";"{{CONTINUIDADE_A002}}";"{{PLANO_B_A002}}";"{{CRITERIOS_APROVACAO_A002}}";"{{STATUS_A002}}"
"A003";"{{CENAS_A003}}";"{{LOTE_A003}}";"{{ARQUIVO_A003}}";"{{TIPO_A003}}";"{{PRIORIDADE_A003}}";"{{REFERENCIA_A003}}";"{{PROMPT_POSITIVO_COMPLETO_A003}}";"{{NEGATIVE_PROMPT_COMPLETO_A003}}";"{{PROPORCAO_ENQUADRAMENTO_A003}}";"{{DURACAO_A003}}";"{{TEXTO_EDITOR_A003}}";"{{CONTINUIDADE_A003}}";"{{PLANO_B_A003}}";"{{CRITERIOS_APROVACAO_A003}}";"{{STATUS_A003}}"
"A004";"{{CENAS_A004}}";"{{LOTE_A004}}";"{{ARQUIVO_A004}}";"{{TIPO_A004}}";"{{PRIORIDADE_A004}}";"{{REFERENCIA_A004}}";"{{PROMPT_POSITIVO_COMPLETO_A004}}";"{{NEGATIVE_PROMPT_COMPLETO_A004}}";"{{PROPORCAO_ENQUADRAMENTO_A004}}";"{{DURACAO_A004}}";"{{TEXTO_EDITOR_A004}}";"{{CONTINUIDADE_A004}}";"{{PLANO_B_A004}}";"{{CRITERIOS_APROVACAO_A004}}";"{{STATUS_A004}}"
"A005";"{{CENAS_A005}}";"{{LOTE_A005}}";"{{ARQUIVO_A005}}";"{{TIPO_A005}}";"{{PRIORIDADE_A005}}";"{{REFERENCIA_A005}}";"{{PROMPT_POSITIVO_COMPLETO_A005}}";"{{NEGATIVE_PROMPT_COMPLETO_A005}}";"{{PROPORCAO_ENQUADRAMENTO_A005}}";"{{DURACAO_A005}}";"{{TEXTO_EDITOR_A005}}";"{{CONTINUIDADE_A005}}";"{{PLANO_B_A005}}";"{{CRITERIOS_APROVACAO_A005}}";"{{STATUS_A005}}"
"A006";"{{CENAS_A006}}";"{{LOTE_A006}}";"{{ARQUIVO_A006}}";"{{TIPO_A006}}";"{{PRIORIDADE_A006}}";"{{REFERENCIA_A006}}";"{{PROMPT_POSITIVO_COMPLETO_A006}}";"{{NEGATIVE_PROMPT_COMPLETO_A006}}";"{{PROPORCAO_ENQUADRAMENTO_A006}}";"{{DURACAO_A006}}";"{{TEXTO_EDITOR_A006}}";"{{CONTINUIDADE_A006}}";"{{PLANO_B_A006}}";"{{CRITERIOS_APROVACAO_A006}}";"{{STATUS_A006}}"
"A007";"{{CENAS_A007}}";"{{LOTE_A007}}";"{{ARQUIVO_A007}}";"{{TIPO_A007}}";"{{PRIORIDADE_A007}}";"{{REFERENCIA_A007}}";"{{PROMPT_POSITIVO_COMPLETO_A007}}";"{{NEGATIVE_PROMPT_COMPLETO_A007}}";"{{PROPORCAO_ENQUADRAMENTO_A007}}";"{{DURACAO_A007}}";"{{TEXTO_EDITOR_A007}}";"{{CONTINUIDADE_A007}}";"{{PLANO_B_A007}}";"{{CRITERIOS_APROVACAO_A007}}";"{{STATUS_A007}}"
"A008";"{{CENAS_A008}}";"{{LOTE_A008}}";"{{ARQUIVO_A008}}";"{{TIPO_A008}}";"{{PRIORIDADE_A008}}";"{{REFERENCIA_A008}}";"{{PROMPT_POSITIVO_COMPLETO_A008}}";"{{NEGATIVE_PROMPT_COMPLETO_A008}}";"{{PROPORCAO_ENQUADRAMENTO_A008}}";"{{DURACAO_A008}}";"{{TEXTO_EDITOR_A008}}";"{{CONTINUIDADE_A008}}";"{{PLANO_B_A008}}";"{{CRITERIOS_APROVACAO_A008}}";"{{STATUS_A008}}"
"A009";"{{CENAS_A009}}";"{{LOTE_A009}}";"{{ARQUIVO_A009}}";"{{TIPO_A009}}";"{{PRIORIDADE_A009}}";"{{REFERENCIA_A009}}";"{{PROMPT_POSITIVO_COMPLETO_A009}}";"{{NEGATIVE_PROMPT_COMPLETO_A009}}";"{{PROPORCAO_ENQUADRAMENTO_A009}}";"{{DURACAO_A009}}";"{{TEXTO_EDITOR_A009}}";"{{CONTINUIDADE_A009}}";"{{PLANO_B_A009}}";"{{CRITERIOS_APROVACAO_A009}}";"{{STATUS_A009}}"
"A010";"{{CENAS_A010}}";"{{LOTE_A010}}";"{{ARQUIVO_A010}}";"{{TIPO_A010}}";"{{PRIORIDADE_A010}}";"{{REFERENCIA_A010}}";"{{PROMPT_POSITIVO_COMPLETO_A010}}";"{{NEGATIVE_PROMPT_COMPLETO_A010}}";"{{PROPORCAO_ENQUADRAMENTO_A010}}";"{{DURACAO_A010}}";"{{TEXTO_EDITOR_A010}}";"{{CONTINUIDADE_A010}}";"{{PLANO_B_A010}}";"{{CRITERIOS_APROVACAO_A010}}";"{{STATUS_A010}}"
