scene_id,start,end,beat,narration_anchor,asset_id,format,visual,motion,text_on_screen,sfx,retention_role
S001,00:00,00:06,hook,"Você recebe a mensagem",A01,image,"Close extremo do celular com notificação de aumento e reflexo verde no rosto do protagonista","Zoom rápido de 105% para 118%","SEU SALÁRIO AUMENTOU","Notificação curta",promessa
S002,00:06,00:13,hook,"Por algumas semanas",A04,image,"Calendário folheando e protagonista aliviado enquanto a margem permanece verde","Pan rápido da esquerda para a direita","FINALMENTE SOBRA","Folhas",passagem_tempo
S003,00:13,00:21,hook,"Três meses depois",V01,video,"Protagonista já confere o saldo diante de uma compra pequena enquanto o símbolo do aumento se apaga atrás dele","Usar os 5 s gerados e segurar o último quadro por 3 s com push-in de editor","3 MESES DEPOIS","Batida seca",contradicao
S004,00:21,00:30,hook,"nenhuma compra absurda",A03,image,"Escolhas cotidianas e plausíveis aparecem em três vinhetas, sem luxo ou excesso","Cortes internos sincronizados","NADA ABSURDO","Três cliques",identificacao
S005,00:30,00:42,mapa,"três coisas podem mudar",A05,image,"Protagonista central puxado por três fios verdes: normal, comparação e contas","Revelar um fio por vez","NORMAL • COMPARAÇÃO • CONTAS","Três pulsos",mapa
S006,00:42,00:50,mecanismo_1,"A primeira peça",A06,image,"Cérebro estilizado recalibrando uma régua de normalidade","Régua desliza para cima","ADAPTAÇÃO","Som mecânico",conceito
S007,00:50,00:59,mecanismo_1,"uma pequena traição",A06,image,"Detalhe da régua interna subindo enquanto o protagonista percebe a recalibração","Recorte fechado com deslocamento lateral","O NORMAL SE MOVE","Som mecânico",curiosidade
S008,00:59,01:08,mecanismo_1,"primeiro dia usando um celular novo",A07A,image,"Protagonista fascinado por celular novo muito brilhante","Aproximar o halo e os olhos","DIA 1","Brilho curto",exemplo
S009,01:08,01:17,mecanismo_1,"Um mês depois",A07B,image,"Mesmo enquadramento e personagem, agora neutro diante do mesmo aparelho sem brilho","Afastar a câmera e reduzir saturação","DIA 30","Som ambiente simples",reversao
S010,01:17,01:27,evidencia,"estudo longitudinal",A08,image,"Três pontos de calendário ligados a uma curva de emoção que perde altura","Linha desenhada na tela","3 MESES • 3 ONDAS","Lápis sobre papel",prova
S011,01:27,01:38,evidencia,"duas rotas apareceram",A09,image,"Tela dividida: emoção nova diminuindo e aspiração subindo","Setas animadas em sentidos opostos","EMOÇÃO ↓  ASPIRAÇÃO ↑","Dois tons opostos",payoff_1
