ordem,id,status,pilar,titulo_base,thumb_base,tese,potencial_clique_1a5,potencial_retencao_1a5,facilidade_producao_1a5,potencial_evergreen_1a5,adequacao_marca_1a5,score_total_25,risco_factual,observacoes
1,CO-I001,BANCO,Dinheiro cotidiano,Por que seu salário some logo depois que cai?,CAIU. SUMIU.,Receber ativa licença para gastar e separa mentalmente o dinheiro novo do restante do mês,5,5,5,5,5,25,BAIXO,Abertura visual forte com o saldo subindo e evaporando
2,CO-I002,PRONTO_PARA_GERAR,Dinheiro cotidiano,Você ganha mais. Por que ainda parece insuficiente?,AINDA TÁ FALTANDO,Adaptação hedônica e inflação do estilo de vida redefinem rapidamente o que parece normal,5,5,5,5,5,25,BAIXO,CO-001 auditado; aguarda amostra visual e produção
3,CO-I003,BANCO,Consumo e manipulação,A parcela que faz você pagar o dobro sorrindo,CABE NO MÊS,A atenção no valor mensal esconde custo total e duração do compromisso,5,5,5,5,5,25,MEDIO,Usar exemplo hipotético claramente identificado
4,CO-I004,BANCO,Dinheiro cotidiano,O preço invisível de estar sempre sem dinheiro,A PRESSA COBRA,A escassez ocupa atenção e empurra decisões urgentes que geram novos custos,5,5,4,5,5,24,MEDIO,Evitar culpabilizar quem vive restrição real
5,CO-I005,BANCO,Consumo e manipulação,Por que uma promoção faz você comprar o que não queria,VOCÊ NÃO ECONOMIZOU,Ancoragem e aversão à perda transformam desconto em sensação de oportunidade irrepetível,5,5,5,5,4,24,BAIXO,Ótima demonstração com duas etiquetas de preço
6,CO-I006,BANCO,Decisões sob risco,Por que perder R$ 100 dói mais do que ganhar R$ 100 alegra,A DOR É MAIOR,A aversão à perda pesa mais que um ganho equivalente e distorce escolhas futuras,5,5,4,5,5,24,MEDIO,Explicar sem atribuir proporção universal
7,CO-I007,BANCO,Dinheiro cotidiano,Por que você gasta mais quando está cansado,SEU CÉREBRO CEDE,Fadiga decisória reduz autocontrole e aumenta a preferência por recompensas imediatas,5,5,4,5,5,24,MEDIO,Separar correlação de causalidade nas fontes
8,CO-I008,BANCO,Consumo e manipulação,O golpe psicológico do frete grátis,GRÁTIS SAI CARO,O preço zero altera a comparação e incentiva compras extras para cruzar um limite arbitrário,5,5,5,5,4,24,BAIXO,Visual simples de carrinho crescendo
9,CO-I009,BANCO,Dinheiro cotidiano,Como o cartão faz dinheiro parecer menos real,NÃO PARECE DINHEIRO,A distância entre compra e pagamento reduz a dor percebida de pagar,5,5,5,5,4,24,MEDIO,Não demonizar cartão; foco no mecanismo
10,CO-I010,BANCO,Dinheiro cotidiano,Por que pessoas inteligentes também caem em dívidas ruins,INTELIGÊNCIA NÃO SALVA,Conhecimento não neutraliza impulsos contexto social e excesso de confiança,5,5,4,5,5,24,MEDIO,Tom empático aumenta compartilhamento
11,CO-I011,BANCO,Status e comparação,Quanto custa parecer bem-sucedido?,O PREÇO DO STATUS,Sinais visíveis de sucesso podem consumir o patrimônio invisível que sustentaria liberdade,5,5,5,5,4,24,BAIXO,Contraste visual entre aparência e saldo
12,CO-I012,BANCO,Carreira e renda,O salário alto que virou uma prisão,ALGEMAS DE OURO,Custos fixos e status podem tornar uma renda alta impossível de abandonar,5,5,4,5,5,24,BAIXO,História composta sem fingir caso real
13,CO-I013,BANCO,Decisões sob risco,A armadilha de continuar só porque você já pagou,JÁ FOI EMBORA,O custo afundado mantém pessoas em compras projetos e empregos que já não fazem sentido,5,5,4,5,5,24,BAIXO,Três atos com exemplos crescentes
14,CO-I014,BANCO,Status e comparação,Por que você compra para impressionar quem nem liga,ELES NEM VIRAM,A superestimação do olhar alheio transforma consumo em uma audiência quase imaginária,5,5,5,5,4,24,MEDIO,Evitar diagnosticar o espectador
15,CO-I015,BANCO,Consumo e manipulação,A assinatura de R$ 29 que pode custar milhares,SÓ R$ 29,O baixo valor recorrente reduz vigilância enquanto a soma anual e o uso esquecido crescem,5,5,5,5,4,24,BAIXO,Calcular cenários sem afirmar resultado individual
16,CO-I016,BANCO,Status e comparação,A comparação que faz qualquer salário parecer pequeno,NUNCA É O BASTANTE,A referência social próxima pesa mais na satisfação do que o valor isolado da renda,5,5,4,5,5,24,MEDIO,Boa ponte entre dinheiro e redes sociais
17,CO-I017,BANCO,Consumo e manipulação,O truque das três opções que escolhe por você,A ESCOLHA JÁ FOI FEITA,O efeito chamariz muda preferências ao inserir uma alternativa desenhada para perder,5,5,5,5,4,24,MEDIO,Recriar experimento com números próprios
18,CO-I018,BANCO,Dinheiro cotidiano,Por que você compra alívio quando está ansioso,ALÍVIO À VENDA,Compras podem funcionar como regulação emocional breve e reforçar um ciclo de culpa,5,5,4,5,5,24,MEDIO,Incluir orientação para buscar ajuda sem fazer diagnóstico
19,CO-I019,BANCO,Carreira e renda,Por que um bônus faz você trabalhar muito mais,BÔNUS OU ISCA?,Recompensas variáveis e metas móveis podem ampliar esforço sem melhorar proporcionalmente a remuneração,5,5,4,4,5,23,MEDIO,Depende de fontes sólidas sobre incentivo
20,CO-I020,BANCO,Carreira e renda,Seu chefe escolheu o primeiro número por um motivo,O PRIMEIRO NÚMERO,A primeira faixa salarial mencionada ancora a negociação mesmo quando parece arbitrária,5,4,4,5,5,23,MEDIO,Transformar em história de negociação fictícia
21,CO-I021,BANCO,Dinheiro cotidiano,Por que guardar dinheiro sem um motivo costuma falhar,FALTA UM PORQUÊ,Metas concretas e identitárias competem melhor com recompensas presentes do que uma reserva abstrata,4,5,5,5,4,23,MEDIO,Não apresentar método como garantia
22,CO-I022,BANCO,Consumo e manipulação,"Por que R$ 9,99 ainda engana seu cérebro",UM CENTAVO MUDA TUDO,O dígito da esquerda e a leitura rápida alteram a percepção de magnitude,5,4,5,5,4,23,MEDIO,Checar limites e variações culturais do efeito
23,CO-I023,BANCO,Consumo e manipulação,O app que transformou seu dinheiro em um jogo,VOCÊ ESTÁ JOGANDO,Animações recompensas e fricção mínima gamificam decisões financeiras reais,5,5,4,4,5,23,MEDIO,Não acusar marcas específicas sem evidência
24,CO-I024,BANCO,Dinheiro cotidiano,A mentira confortável do mês que vem eu começo,MÊS QUE VEM...,O viés do presente empurra o custo da mudança para uma versão futura idealizada de nós mesmos,5,5,5,5,3,23,BAIXO,Callback natural no encerramento
25,CO-I025,BANCO,Status e comparação,Por que o produto mais caro parece automaticamente melhor,CARO = BOM?,Preço funciona como atalho de qualidade quando comparar de verdade exige esforço,5,4,5,5,4,23,MEDIO,Mostrar quando o atalho ajuda e quando falha
26,CO-I026,BANCO,Dinheiro cotidiano,Como o medo de faltar faz você comprar demais,É MELHOR GARANTIR?,A ameaça de escassez aumenta urgência e pode converter prevenção em excesso,5,5,4,5,4,23,MEDIO,Distinguir estoque racional de impulso
27,CO-I027,BANCO,Carreira e renda,Quando trabalhar mais começa a custar dinheiro,SEU EXTRA TEM PREÇO,Horas adicionais criam despesas compensatórias e podem reduzir o ganho líquido percebido,5,5,4,5,4,23,MEDIO,Usar personagens com rotinas plausíveis
28,CO-I028,BANCO,Dinheiro cotidiano,O erro de chamar todo desejo de investimento,NÃO É INVESTIMENTO,A linguagem de investimento oferece justificativa racional para uma compra emocional,5,5,5,5,3,23,BAIXO,Humor com objetos comuns mantém tom leve
29,CO-I029,BANCO,Decisões sob risco,O efeito loteria: quando uma chance minúscula vira plano,VAI QUE...,Probabilidades muito pequenas parecem maiores quando a recompensa é vívida e fácil de imaginar,5,5,4,4,5,23,ALTO,Exige dados oficiais e cuidado com jogo responsável
