asset_id,category,file,style_id,first_used_episode,first_used_scene,status,notes
CO_WORKER_V1,character,assets/characters/worker.svg,CO_SKETCH_V1,CO-001,S001,active,Protagonista principal
CO_ANA_V1,character,assets/characters/ana.svg,CO_SKETCH_V1,CO-001,S004,active,Estreia como amiga na vinheta central
expression_neutral,expression,assets/expressions/neutral.svg,CO_SKETCH_V1,CO-001,S004,active,Expressao cotidiana
expression_surprised,expression,assets/expressions/surprised.svg,CO_SKETCH_V1,CO-001,S001,active,Reacao ao aumento
expression_worried,expression,assets/expressions/worried.svg,CO_SKETCH_V1,CO-001,S003,active,Tensao diante do saldo
expression_relieved,expression,assets/expressions/relieved.svg,CO_SKETCH_V1,CO-001,S002,active,Alivio temporario
expression_thinking,expression,assets/expressions/thinking.svg,CO_SKETCH_V1,CO-001,S005,active,Compreensao dos mecanismos
expression_fascinated,expression,assets/expressions/fascinated.svg,CO_SKETCH_V1,CO-001,S008,active,Encanto do primeiro dia
expression_realization,expression,assets/expressions/realization.svg,CO_SKETCH_V1,CO-001,S007,active,Descoberta de que a referencia mudou
pose_neutral,pose,assets/poses/neutral.svg,CO_SKETCH_V1,CO-001,S004,active,Pose-base
pose_celebrate,pose,assets/poses/celebrate.svg,CO_SKETCH_V1,CO-001,S002,active,Celebracao e alivio
pose_phone,pose,assets/poses/phone.svg,CO_SKETCH_V1,CO-001,S001,active,Segurando celular
pose_tension,pose,assets/poses/tension.svg,CO_SKETCH_V1,CO-001,S003,active,Corpo contraido
pose_pulled,pose,assets/poses/pulled.svg,CO_SKETCH_V1,CO-001,S005,active,Puxado por mecanismos
pose_pointing,pose,assets/poses/pointing.svg,CO_SKETCH_V1,CO-001,S007,active,Aponta para a regua interna
pose_umbrella,pose,assets/poses/umbrella.svg,CO_SKETCH_V1,CO-001,S015,active,Segura a protecao sobre necessidades basicas
pose_walking,pose,assets/poses/walking.svg,CO_SKETCH_V1,CO-001,S016,active,Caminha da pressao para a zona segura
phone_raise,object,assets/objects/phone_raise.svg,CO_SKETCH_V1,CO-001,S001,active,Notificacao de aumento
calendar,object,assets/objects/calendar.svg,CO_SKETCH_V1,CO-001,S002,active,Passagem do tempo
bills,object,assets/objects/bills.svg,CO_SKETCH_V1,CO-001,S005,active,Contas recorrentes
brain_console,object,assets/objects/brain_console.svg,CO_SKETCH_V1,CO-001,S006,active,Mecanismo de recalibracao
normality_ruler,object,assets/objects/normality_ruler.svg,CO_SKETCH_V1,CO-001,S006,active,Regua do novo normal
phone_generic,object,assets/objects/phone_generic.svg,CO_SKETCH_V1,CO-001,S008,active,Celular reutilizavel com estados
emotion_curve,object,assets/objects/emotion_curve.svg,CO_SKETCH_V1,CO-001,S010,active,Curva original de tres ondas
opposing_routes,object,assets/objects/opposing_routes.svg,CO_SKETCH_V1,CO-001,S011,active,Emocao desce enquanto aspiracao sobe
podium_floor,object,assets/objects/podium_floor.svg,CO_SKETCH_V1,CO-001,S012,active,Conquista elevada que se transforma em piso
delivery_bag,object,assets/objects/delivery_bag.svg,CO_SKETCH_V1,CO-001,S013,active,Sacola generica para habito de delivery
expectation_race,object,assets/objects/expectation_race.svg,CO_SKETCH_V1,CO-001,S014,active,Renda e expectativa em trajetorias convergentes
